Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,athlete_id
2024,Isaiah Adams,illinois,OG,76.25,315,9,33.88,NA,5.22,22,24.5,102,4.73,7.77,NA,NA
2024,Kiran Amegadjie,yale,OT,77.38,323,9.63,36.13,NA,NA,21,NA,NA,NA,NA,NA,NA
2024,Gottlieb Ayedze,maryland,OG,76.13,308,9.88,33,NA,5.01,21,26.5,112,NA,7.71,NA,NA
2024,Karsen Barnhart,michigan,OG,76.5,306,9.88,33.38,NA,5.21,22,29.5,111,4.7,7.83,NA,NA
2024,Tanor Bortolini,wisconsin,C,76.25,303,10,31.5,NA,4.94,21,32.5,112,4.28,7.16,NA,NA
2024,Millard Bradford,texas christian,FS,70.5,191,9,31.25,NA,4.42,15,38.5,124,4.3,7.08,NA,NA
2024,Javion Cohen,miami (fl),OG,76.38,324,9.88,34,NA,5.34,22,26.5,104,5.06,8.28,NA,NA
2024,Jalen Coker,holy cross (ma),WR,73.38,208,9.88,32.88,NA,4.57,12,42.5,128,NA,NA,NA,NA
2024,Brandon Coleman,texas christian,OG,76.5,313,10.75,34.63,NA,4.99,24,34,114,4.62,7.4,NA,NA
2024,Ryan Cooper,oregon state,CB,71.38,186,8.75,30.5,NA,4.67,NA,31,116,4.44,7.18,NA,NA
2024,Frank Crum,wyoming,OT,80.25,313,10.5,33.88,NA,4.94,22,31.5,114,4.73,7.39,NA,NA
2024,Anim Dankwah,howard (dc),OT,79.75,349,9.75,35.13,NA,5.44,24,27.5,88,5.21,8.46,NA,NA
2024,Isaiah Davis,south dakota state,RB,72.25,218,10.25,31.13,NA,4.57,23,34.5,119,4.3,NA,NA,NA
2024,Johnny Dixon,penn state,CB,70.75,188,8.63,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Willie Drew,virginia state,CB,71.63,191,9.5,32,NA,4.46,13,36,115,4.42,6.9,NA,NA
2024,Ethan Driskell,marshall (wv),OT,80.38,313,10.5,35.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Kingsley Eguakun,florida,C,75.5,304,10.13,32.5,NA,NA,26,32,109,4.51,7.57,NA,NA
2024,Josiah Ezirim,eastern kentucky,OT,77.75,329,10.75,35.75,NA,5.15,28,29.5,113,NA,NA,NA,NA
2024,Olumuyiwa Fashanu,penn state,OT,78,312,8.5,34,NA,5.11,NA,32,109,NA,NA,NA,NA
2024,Troy Fautanu,washington,OG,75.75,317,9.5,34.5,NA,5.01,29,32.5,113,NA,NA,NA,NA
2024,Ryan Flournoy,southeast missouri state,WR,72.75,202,10.13,31.63,NA,4.44,19,39.5,132,4.37,7.08,NA,NA
2024,Javon Foster,missouri,OT,77.5,313,9.63,34.63,NA,5.3,18,32.5,106,4.93,7.7,NA,NA
2024,XZauvea Gadlin,liberty (va),OG,75.25,322,10.25,33.25,NA,5.5,25,24,96,4.97,8.26,NA,NA
2024,Nick Gargiulo,south carolina,C,77.38,318,10.38,33.88,NA,5.25,28,32.5,101,4.65,7.33,NA,NA
2024,Frank Gore,southern mississippi,RB,67.63,198,8.25,29.63,NA,4.69,12,29,111,NA,NA,NA,NA
2024,Garret Greenfield,south dakota state,OT,77.75,311,9.75,33.5,NA,5.22,NA,38.5,113,4.85,7.76,NA,NA
2024,Michael Hall,ohio state,DT,74.75,299,10,33.5,NA,4.75,24,33,111,NA,NA,NA,NA
2024,CJ Hanson,holy cross (ma),OG,77,300,9.38,32.38,NA,5,25,33.5,115,4.71,7.9,NA,NA
2024,Myles Harden,south dakota,FS,70.88,195,9.38,29.88,NA,4.5,13,35.5,118,3.98,6.88,NA,NA
2024,Marvin Harrison,ohio state,WR,75.25,209,9.5,31.88,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Christian Haynes,connecticut,OG,74.75,317,9,33.5,NA,5.03,25,33,102,NA,NA,NA,NA
2024,LaDarius Henderson,michigan,OG,76.13,309,10.63,35,NA,NA,20,NA,NA,4.72,8.15,NA,NA
2024,TyRon Hopper,missouri,OLB,73.75,231,8.88,31.38,NA,4.68,NA,36,124,4.46,7.29,NA,NA
2024,Jalyx Hunt,NA,DE,75.75,252,10,34.38,NA,4.64,19,37.5,128,4.38,7.18,NA,NA
2024,Bucky Irving,oregon,RB,69,192,9.5,29.5,NA,4.55,15,29.5,115,NA,NA,NA,NA
2024,JhaQuan Jackson,tulane (la),WR,69.13,188,8.88,30.88,NA,4.42,12,32,118,NA,NA,NA,NA
2024,Jordan Jefferson,louisiana state,DT,74.75,313,9.88,33.13,NA,5.08,34,31,104,NA,NA,NA,NA
2024,Cedric Johnson,mississippi,DE,75,260,9.88,33.5,NA,4.63,25,38,122,4.36,7.45,NA,NA
2024,JC Latham,alabama,OT,77.75,342,11,35.13,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Dylan Laube,new hampshire,RB,69.88,206,9.25,29.38,NA,4.54,23,37,118,4.02,6.84,NA,NA
2024,Sataoa Laumea,utah,OG,76.25,319,9.88,32.88,NA,NA,26,26,104,NA,NA,NA,NA
2024,Matt Lee,miami (fl),C,75.63,301,9.25,32.13,NA,5.03,25,31,111,4.69,7.97,NA,NA
2024,KT Leveston,kansas state,OG,75.88,326,9.88,34.38,NA,5.38,25,27.5,108,4.89,7.9,NA,NA
2024,Beaux Limmer,arkansas,C,76.63,302,9.5,31.88,NA,5.22,39,36.5,110,4.57,7.47,NA,NA
2024,Mason McCormick,south dakota state,OG,76.25,309,10,33.88,NA,5.08,32,35.5,117,4.45,7.59,NA,NA
2024,Dylan McMahon,north carolina state,C,75.38,299,9.38,31.75,NA,5.1,25,33,115,4.33,7.26,NA,NA
2024,Bub Means,pittsburgh,WR,73,227,10.13,33.25,NA,4.43,19,39.5,122,4.4,NA,NA,NA
2024,Amarius Mims,georgia,OT,79.75,340,11.25,36.13,NA,5.07,NA,25.5,111,4.33,NA,NA,NA
2024,JerZhan Newton,illinois,DT,73.63,304,9.5,32.38,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Hunter Nourzad,penn state,C,75.13,317,10.75,33.13,NA,NA,27,NA,NA,NA,NA,NA,NA
2024,Eyabi Okie-Anoma,north carolina charlotte,DE,76.5,260,9.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Patrick Paul,houston,OT,79.5,331,9.38,36.25,NA,5.13,30,29,NA,4.71,7.65,NA,NA
2024,Michael Penix,washington,QB,74.25,216,10.5,33.63,NA,4.58,NA,36.5,125,NA,NA,NA,NA
2024,Prince Pines,tulane (la),OG,76.5,329,9.13,32.88,NA,5.34,23,30,NA,NA,NA,NA,NA
2024,JaLynn Polk,washington,WR,73.38,203,9.75,31.75,NA,4.52,NA,37.5,129,NA,NA,NA,NA
2024,Ennis Rakestraw,missouri,CB,71.38,183,8.5,32,NA,4.51,13,NA,120,4.38,NA,NA,NA
2024,Keith Randolph,illinois,DT,75.5,296,9.88,32.75,NA,5.15,21,28.5,105,4.81,7.75,NA,NA
2024,Chop Robinson,penn state,DE,74.88,254,9.13,32.5,NA,4.48,NA,34.5,128,4.25,NA,NA,NA
2024,Nick Samac,michigan state,C,76,307,9.75,32.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,JaTavion Sanders,texas,TE,75.88,245,10.13,32.88,NA,4.69,8,30,114,4.32,NA,NA,NA
